"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"2","For Rent - Flat & Apartment","65000","2","1",,"Big","FLAT RENT AT PULCHOWK-JHAMSIKHEL (+BIKES PARKING)","Mustang Thakali Kitchen, Lalitpur-3, Lalitpur","27.678329467773438","85.31299591064453"
"HouseIndividual",,"5","For Rent - House","105","7","3.5","2","2","📍 BEAUTIFUL BUNGALOW HOUSE RENT 📌 BUDHANILKANTHA","Budhanilkantha Narayan Temple, Kathmandu-16, Kathmandu","27.736900329589844","85.30819702148438"
"HouseIndividual",,"5","For Rent - House","165","8","4.5","1","3","📍 BEAUTIFUL BUNGALOW RENT 📌 KOTESHWOR KATHMANDU ","Koteshwor, Kathmandu-32, Kathmandu","27.679859161376953","85.33708953857422"
"HouseIndividual",,"4","For Rent - House","155","4","3.5","1","2","📍 BEAUTIFUL BUNGALOW RENT 📌 BUDHANILKANTHA GOLFU","Budhanilkantha, Budhanilakantha-8, Kathmandu","27.75763511657715","85.35592651367188"
"HouseIndividual",,"1","For Rent - Flat & Apartment","20000","1","Ground",,"1","1BHK Flat Rent in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur","27.65118980407715","85.2989730834961"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
,,,"Flatmates & Paying Guests","750",,,,,"For PG (Girls)","Kamalpokhari  Khaja Ghar, Kathmandu-1, Kathmandu","27.710220336914062","85.32344818115234"
,,,"Flatmates & Paying Guests","15000",,,,,"Room for rent","Kamladi Trade Link, Kathmandu-28, Kathmandu","27.707059860229492","85.32247924804688"
"Commercial Building",,,"For Rent - Office Space","75",,"3",,,"Office Space For Rent 📍Chandol","105/61, Manshree Marg, Sungava Chok, Bishalnagar, Kathmandu Metropolitan City, Kathmandu","0","0"
"HouseIndividual",,"1 bathroom","For Rent - Flat & Apartment","35000","1 bedroom","1st floor",,"1 living room","1 BHK Semi Furnished | Car Parking + Kids Garden","Kuleshwar, Kathmandu-14, Kathmandu","0","0"
"Apartment Building",,"1","For Rent - Flat & Apartment","30000","1","12",,"1","Apartment For Rent 1 bhk","Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.64593505859375","85.33499908447266"
"House - Individual",,"6","For Sale - House","265","5","2","2","2","House On Sale 📍Suryadarsan Height","Tarakeshwar, Tarakeshwar Municipality, Kathmandu","0","0"
"HouseIndividual",,,"For Rent - Office Space","600000",,"4th",,,"furnished office with glass partition for sale","Kalikasthan Temple Kalikasthan Mandir - Kalikasthan Temple कालिकास्थान मन्दिर, Kirtipur-4, Kathmandu","0","0"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"5","For Sale - House","39000000","5","2.5","1","1","Booking Open For House at Bhaisipati","Bhaisipati, Lalitpur-25, Lalitpur","27.652578353881836","85.30496215820312"
